BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,SEGMENT
1872.7,0.37,7299.98,6381.45,2989.12,6777.89,0.74,0.04,0.82,0.88,1,28,14206.27,8589.75,3249.43,0.68,7,Cash Advance User
4753.57,0.33,1845.12,4592.92,948.18,3956.14,0.88,0.83,0.15,0.91,7,96,7839.78,3571.16,1272.64,0.61,12,Moderate User
3659.97,0.18,3466.4,9644.99,1263.59,1563.72,0.46,0.25,0.95,0.38,29,35,13430.59,1613.26,1064.46,0.45,6,One-off Purchaser
2993.29,0.61,6632.81,2189.78,1806.71,5893.13,0.29,0.28,0.84,0.23,14,70,4284.78,3686.45,4684.41,0.93,11,Cash Advance User
780.09,0.48,4820.89,5878.56,2036.53,3349.43,0.32,0.23,0.92,0.19,24,55,11815.81,13715.55,4792.87,0.55,9,Moderate User
779.97,0.87,7385.71,7002.1,2422.62,4757.02,0.7,0.84,0.29,0.88,16,95,11643.94,3385.54,1997.25,0.01,10,Cash Advance User
290.42,0.03,9612.08,8255.64,2554.6,858.12,0.57,0.98,0.34,0.23,5,4,14068.42,6476.55,3886.13,0.52,6,High Spender
4330.88,0.64,1165.47,4069.71,4557.16,5052.67,0.49,0.76,0.47,0.53,21,56,5611.08,6613.61,358.76,0.06,10,Cash Advance User
3005.58,0.76,7095.68,6869.22,5095.73,2988.4,0.2,0.82,0.22,0.33,22,14,3218.91,13865.32,4523.37,0.96,12,Moderate User
3540.36,0.76,2303.44,3032.01,3088.79,2673.52,0.88,0.62,0.47,0.5,5,63,19378.66,1725.5,1729.32,0.74,7,Moderate User
102.92,0.89,4144.77,4354.76,9072.96,7839.32,0.78,0.53,0.01,0.35,13,44,3910.75,7177.96,3829.91,0.01,6,Cash Advance User
4849.55,0.73,328.63,8956.27,5531.4,3459.45,0.14,0.72,0.88,0.29,16,53,7405.53,12141.97,3278.99,0.49,9,Moderate User
4162.21,0.93,1359.07,9499.08,7874.77,5424.31,0.37,0.04,0.16,0.43,5,1,17551.04,926.16,2014.97,0.94,11,Cash Advance User
1061.7,0.33,3197.77,7188.17,9242.38,5021.82,0.54,0.06,0.5,0.33,19,55,12292.41,11185.42,383.41,0.8,11,Cash Advance User
909.12,0.5,3419.86,3743.52,1631.35,834.43,0.45,0.69,0.93,0.84,0,39,5090.44,1410.47,3077.71,0.27,10,Moderate User
917.02,0.01,8995.85,8200.58,4278.74,5983.42,0.4,0.34,0.82,0.58,25,99,10115.84,6785.38,359.84,0.68,12,High Spender
1521.21,0.01,7418.13,258.67,4332.1,2585.27,0.72,0.49,0.78,0.18,15,0,16976.5,2369.41,4796.77,0.77,9,Moderate User
2623.78,0.24,9721.83,1027.46,3544.72,6391.52,0.05,0.78,0.61,0.24,5,15,19795.51,5847.46,2144.17,0.65,7,High Spender
2159.73,0.1,5990.72,6613.74,89.06,4861.13,0.47,0.58,0.44,0.05,29,5,13218.87,559.29,1455.11,0.9,6,One-off Purchaser
1456.15,0.26,2417.14,2912.49,8159.72,2536.73,0.26,0.81,0.45,0.3,18,71,5817.58,12632.69,1041.45,0.23,9,Moderate User
3059.26,0.18,3276.55,9513.86,1115.59,2850.34,0.08,0.42,0.09,0.67,3,79,16437.95,2007.1,372.1,0.75,11,One-off Purchaser
697.47,0.03,3198.36,4360.61,9954.81,5852.06,0.46,0.29,0.06,0.18,7,46,16365.88,2812.04,3540.91,0.6,10,Cash Advance User
1460.72,0.91,3264.94,4293.65,7729.58,4400.47,0.17,0.23,0.84,0.1,23,75,17894.86,6873.35,4952.98,0.97,12,Cash Advance User
1831.81,0.01,6729.64,6780.8,5800.1,5346.81,0.26,0.13,0.41,0.32,27,5,3588.83,291.91,2295.42,0.68,6,Cash Advance User
2280.35,0.74,5308.08,7675.69,1546.06,1266.55,0.51,0.04,0.05,0.61,2,47,7936.95,13815.99,3523.21,0.43,8,One-off Purchaser
3925.88,0.15,3854.24,4755.59,5153.93,6295.81,0.97,0.05,0.66,0.47,27,1,5437.67,6202.98,2422.26,0.12,7,Cash Advance User
998.37,0.91,1490.9,2140.01,2611.09,2563.13,0.68,0.27,0.68,0.33,10,74,5109.18,7946.58,2023.36,0.64,7,Moderate User
2571.17,0.89,221.39,7733.09,2523.23,4958.89,0.28,0.28,0.23,0.88,19,60,7941.84,13041.96,1813.33,0.96,6,Cash Advance User
2962.07,0.65,2188.35,3203.51,8295.29,917.44,0.38,0.38,0.41,0.47,18,10,1903.19,8641.01,4474.73,0.33,11,Moderate User
232.25,0.67,1074.71,1751.11,3806.44,2571.36,0.41,0.59,0.57,0.46,23,9,17112.32,1195.89,3801.81,0.66,10,Moderate User
3037.72,0.01,7854.45,6316.4,4507.24,5190.94,0.15,0.76,0.6,0.03,18,97,17184.52,12046.95,4294.06,0.79,7,Cash Advance User
852.62,0.98,1124.98,904.54,8429.65,2193.65,0.16,0.2,0.51,0.64,25,74,18923.66,13738.79,482.6,0.88,6,Installment User
